emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-4,-40,4,-39,-46,-6,7,15
0,-36,11,-16,38,7,3,-22
21,0,-7,-1,-18,1,5,30
-15,-1,37,24,-1,0,-4,12
-1,18,-23,4,-23,-6,-8,-5
8,65,0,19,12,6,8,1
1,-22,11,6,2,0,6,4
-18,-60,-12,-42,-18,-14,-24,-2
3,8,11,12,20,7,11,3
1,2,17,-13,-18,-3,-6,5
5,58,4,46,8,-1,7,4
-6,-51,-4,-29,-17,0,4,11
-10,-6,-12,13,9,-10,-7,-5
10,89,-3,-9,-6,2,-6,-6
-10,-3,-1,-29,-13,-2,-4,-2
-4,-29,-37,46,7,-2,1,-29
6,35,14,-44,15,4,-1,26
0,-14,12,16,0,0,2,1
3,27,5,36,-9,1,3,11
4,-6,-14,-17,6,0,4,-9
18,104,-4,29,-2,1,6,-20
-26,-128,-35,-51,-16,-4,-4,-3
3,76,44,-36,-11,-4,0,5
-6,-71,18,34,4,3,1,6
4,-13,-39,-35,22,-2,3,4
-14,2,-12,5,-10,-4,-17,-49
-4,-33,-14,-7,-13,-5,-6,14
22,55,5,-15,17,3,13,6
-24,-52,2,-7,-9,-2,-12,-3
8,25,3,-6,3,-3,7,-1
-16,-28,-13,-3,-5,-3,-13,-19
13,112,35,-18,3,0,-9,5
-15,-88,-25,48,11,5,14,16
0,39,-17,-60,1,-6,4,39
-10,-33,5,-10,19,1,-4,-54
4,17,20,-9,-12,5,5,28
2,34,-7,-15,-3,-2,-5,-24
-11,-42,-19,34,-5,-3,-3,-5
14,13,6,-1,-3,2,21,69
-15,11,-2,33,-3,-5,-33,-82
7,-30,-4,-40,19,3,-6,-11
1,27,14,-7,-13,-3,8,47
8,63,-6,6,-1,1,-6,-1
-15,-63,-8,49,9,-7,5,4
7,70,-5,-9,-13,2,-2,-13
-4,-13,-1,-1,5,0,6,21
-2,-13,-12,-31,6,1,1,-16
2,33,-2,-2,-2,-1,2,9
-8,-6,32,32,-11,-4,-8,-2
23,-53,1,22,14,2,4,18
-18,-28,-19,1,8,-2,-4,2
-10,-35,-20,-44,-26,-2,-9,-15
9,0,-7,-1,1,-4,10,33
-8,21,19,-52,16,3,-10,-42
-9,-24,0,73,-35,-11,-13,-27
7,-27,-16,-67,7,4,11,16
-6,32,6,22,-1,2,15,0
-15,-79,-15,54,-3,-13,-37,-8
8,15,2,-29,9,3,5,10
5,-26,17,27,-1,-4,5,2
-17,-26,-13,-1,6,3,-1,9
6,44,-6,-64,-21,-1,7,14
-4,3,1,-73,0,-1,-12,-15
10,36,-16,41,-1,-2,14,10
-1,-65,0,-6,-3,-5,-10,-17
0,87,9,37,3,3,2,-6
-7,-76,-11,-45,-6,1,13,45
4,24,16,-15,-2,-2,-10,1
-3,4,6,25,0,-7,-7,-6
-10,-22,3,32,-28,-2,4,-26
14,42,-26,5,40,-1,-4,8
-2,-21,-7,-39,-19,2,8,16
-6,10,41,15,-17,0,-2,4
5,18,-27,38,1,0,4,-13
9,11,1,-25,-2,-2,-10,-17
-11,-68,-15,28,-2,-3,-8,-18
11,73,2,-45,-8,0,-5,-18
-8,0,25,17,18,6,12,15
2,-19,-11,-12,-10,-3,0,-14
-9,29,-4,34,11,-5,-8,-12
14,32,-2,-28,12,9,13,35
15,52,43,-9,-4,-3,12,33
-9,2,-16,8,3,-5,-15,-31
-9,-19,2,-31,2,-1,-15,-7
-1,-3,-6,41,1,-2,1,-10
0,23,-10,-5,-1,-2,4,20
-5,13,24,-6,-6,1,-5,-20
-10,-20,-7,16,13,5,7,3
3,8,4,5,-1,-2,-9,-2
-6,8,-6,0,-8,0,7,-10
3,-71,0,42,-10,-4,8,23
12,51,-8,-43,-3,0,-4,-9
1,5,8,7,7,-1,-4,-3
-3,-57,1,-44,-10,0,-6,-10
-8,20,2,43,12,2,4,21
7,6,8,5,15,3,3,-19
-8,-24,-40,-22,-13,-11,-7,6
-5,-25,-12,-8,-8,0,-6,-3
5,26,20,26,-1,1,6,5
-1,36,5,1,21,-3,2,15
5,9,11,24,-19,-1,1,-37
2,-25,-2,11,34,5,4,20
-13,9,-14,-40,-2,0,-16,-54
5,22,-16,9,-15,-1,7,25
-12,-79,23,29,-7,-3,2,1
12,43,20,29,10,1,1,19
-5,-9,-2,-35,-6,-2,-4,5
10,27,-4,-2,-9,1,8,17
-9,-66,-35,-56,-4,-1,-1,-9
3,-16,21,36,13,1,-4,-16
-1,46,27,33,3,3,-7,-4
-15,-16,1,-60,-20,-7,-10,-32
0,3,-15,46,-12,-3,-6,16
-2,-29,-12,-49,-5,-1,1,-8
13,47,-34,-24,8,0,-2,-5
-14,-63,8,19,-11,-4,-1,17
19,69,25,20,6,0,4,8
-19,5,3,-5,-2,-1,-1,0
4,-19,16,22,-12,-1,-6,-18
3,-16,-13,13,-5,-2,13,15
-12,34,6,10,6,-2,-15,-38
8,-44,1,-16,-9,0,6,2
-7,4,0,-11,4,1,3,-12
5,-2,-13,25,14,-1,-2,0
-5,-15,11,-39,-4,-3,-4,-9
1,-12,-15,5,-4,-2,9,21
-13,-4,22,35,-10,-3,-13,-41
5,-7,11,-36,-1,0,0,7
20,20,-14,19,6,10,28,23
-18,34,1,11,21,-6,-42,-60
6,-40,4,-22,7,2,7,32
-4,-27,-5,7,-7,-5,-10,-12
2,17,16,36,15,5,6,24
-2,0,-16,-24,6,-2,4,-23
12,0,-1,-19,-20,4,12,37
-29,43,-12,-24,6,1,-24,-79
-1,-43,18,10,-20,-5,-6,-7
6,54,3,55,9,5,5,13
-10,-32,-35,-24,19,-6,0,-10
13,-13,15,2,-20,-2,7,43
-5,6,3,19,29,3,-2,2
7,31,-15,-29,-55,-5,-4,-4
-1,6,-3,-24,21,4,23,45
-10,-18,9,24,-6,-4,-20,-58
-7,20,-3,-1,-4,-4,-13,-13
22,-10,10,22,9,4,2,13
-3,-8,-7,5,-8,-2,2,-6
-2,-8,6,-20,-14,2,16,41
-6,4,-9,-5,16,0,0,-11
12,55,2,8,-5,-5,3,-26
-25,-53,-18,-13,-20,-8,-24,-34
0,6,4,49,22,4,0,8
-1,-20,-27,-41,-33,-6,-4,-14
-9,15,2,-38,3,-2,3,3
-3,8,3,33,3,-5,-4,-8
13,6,7,16,-1,1,2,9
-2,-3,6,18,11,4,4,2
1,-53,-36,-75,-16,-4,-1,9
2,48,15,-27,-13,-3,-1,-6
9,51,-1,38,-1,-2,4,25
-8,-99,-6,-63,8,1,11,55
-14,58,19,117,7,0,-27,-76
-1,-81,-4,-83,-7,-1,-3,-12
-3,22,-24,-58,7,-4,2,13
11,46,-5,9,-14,-3,-1,1
-15,-59,1,10,7,-3,-3,13
-3,29,28,11,0,1,-8,3
4,-1,2,41,4,1,11,-1
4,-12,-25,-89,-13,-4,-7,-44
-5,-3,-4,5,6,2,3,42
11,17,19,35,-15,-1,3,17
6,17,-10,-5,11,6,5,0
-10,19,3,17,-2,-1,-2,1
0,-4,-23,-35,17,3,6,20
1,-13,-15,-8,-20,-8,1,-22
5,33,14,29,20,2,0,7
-3,17,6,19,-20,0,1,1
-2,-16,-4,-53,-10,-2,4,30
4,27,-10,114,11,4,7,-8
-8,-40,-8,-70,-11,-4,-9,-23
4,12,4,22,5,-3,-6,-11
4,-17,20,29,-8,-3,1,3
15,65,6,2,17,10,9,17
-6,-63,-14,-7,-7,1,-4,-1
-19,2,5,3,17,-1,-7,-4
26,45,-5,-38,-22,5,27,71
-29,-48,-12,43,1,-8,-28,-39
7,6,-4,-51,-11,-3,-4,13
-10,-4,5,-1,10,1,6,4
9,4,0,19,-1,-3,-9,-26
1,19,2,-9,6,2,8,38
-2,-7,7,16,3,-3,-7,-19
6,6,-6,-27,-19,-3,-2,4
-10,-11,15,28,26,1,-2,-28
-3,1,-21,-62,-16,-2,5,-1
1,14,22,36,3,-4,-1,18
16,76,2,-6,1,2,8,3
-37,-84,-22,59,14,-3,-9,-16
-1,6,-16,-32,-28,-6,-8,-3
-5,-1,-12,42,8,1,3,5
3,16,15,-11,3,-2,-3,0
11,24,-7,-17,-4,-1,-4,-2
-2,-25,9,9,12,-2,5,0
-5,1,-4,-13,-12,-6,-2,6
2,-27,-11,3,-12,-3,-3,2
-9,-25,-20,-3,-10,-3,-5,-23
4,-33,-10,-65,16,0,12,37
4,16,-3,-21,-17,-7,0,-20
-16,-13,1,-10,19,0,-7,-22
-9,-32,5,-1,-8,-2,-7,-18
7,54,7,2,-5,2,11,18
-1,-42,-14,8,7,0,8,-1
1,3,4,2,-16,-1,-14,-8
4,27,23,-15,0,-3,-2,-4
-5,10,3,8,19,5,-1,-9
-2,4,2,9,-5,2,2,12
-1,-16,-2,18,-4,-3,1,14
7,8,1,-51,4,0,-4,-1
6,10,8,6,-5,3,3,5
-3,-4,14,12,12,-2,-9,-15
-10,-24,-20,12,-10,-4,-2,9
10,-15,-2,24,-5,-4,0,14
-4,-1,-6,-32,2,6,12,12
-8,9,-8,-28,-23,-7,-6,-8
7,18,17,-1,18,5,-2,-3
-1,-39,-5,-12,-3,-2,-4,3
4,19,4,48,-8,-1,-1,-17
-10,0,-7,-25,1,-2,-8,-17
2,4,21,-15,0,-6,-4,21
7,70,12,17,-9,-1,9,41
0,-47,-7,-13,-16,-4,-10,-42
-2,-11,15,5,10,5,-3,7
5,10,-28,24,15,0,16,25
2,15,-1,-25,-7,-1,-4,-37
-8,-16,-13,13,-2,-1,-10,-17
6,45,31,29,23,6,8,26
5,-35,6,25,-11,-5,-6,1
-1,-2,-5,12,7,6,13,7
-22,-25,-13,-14,-11,-5,-20,-42
15,17,-5,-13,8,5,4,11
-13,-17,-11,5,7,-4,-4,-12
-5,21,-29,-49,-9,0,0,-28
9,4,13,71,-11,-3,5,45
-10,14,-27,-93,-20,-3,-11,-16
2,-36,2,34,18,2,3,-12
3,18,19,21,9,1,-1,23
-11,16,8,-11,4,-6,-13,-27
2,25,-17,25,5,1,1,10
-7,-23,3,-12,-16,-2,-6,-6
0,10,-2,-55,-5,-1,-2,4
5,22,-10,23,-2,-5,5,29
2,6,-5,-2,2,5,1,-32
-1,9,-2,4,-1,-4,-1,-13
-11,-26,8,15,2,3,-4,1
26,123,22,49,-5,1,5,15
-19,-102,-18,-15,7,-9,-3,-10
2,26,-12,-2,-5,3,8,22
-1,11,8,6,-4,1,4,-19
-3,-17,-9,7,6,0,-9,7
16,18,21,16,19,-2,2,9
-13,-23,-18,18,-4,2,13,29
-4,-63,2,-18,-4,-4,-20,-42
-11,14,-1,-24,13,-3,-6,-29
9,10,7,4,-38,0,1,15
-2,15,3,6,44,2,-1,-4
-4,-33,-5,13,-14,-3,5,39
7,17,7,0,-7,2,0,-15
-4,-25,-6,-31,-1,-3,-1,2
2,12,13,11,-19,-4,-6,-2
-1,36,-2,20,-8,-2,3,-2
9,-2,27,-16,24,1,3,5
