timestamp,x,y,z,w
1499894580358528,-0.264648,-0.587463,0.656067,0.393005
1499894580380518,-0.264648,-0.587769,0.655823,0.392944
1499894580401534,-0.264648,-0.588013,0.65564,0.392883
1499894580418522,-0.264587,-0.58783,0.655823,0.392883
1499894580440523,-0.264465,-0.587524,0.656067,0.393005
1499894580463524,-0.264465,-0.587524,0.656067,0.393005
1499894580478524,-0.264465,-0.587524,0.656067,0.393005
1499894580500527,-0.264404,-0.587524,0.656067,0.393066
1499894580522529,-0.264404,-0.587524,0.656006,0.393066
1499894580538528,-0.264282,-0.587463,0.656128,0.393066
1499894580560531,-0.264099,-0.587402,0.656189,0.393188
1499894580583530,-0.264099,-0.587402,0.656189,0.393188
1499894580597532,-0.264099,-0.587402,0.65625,0.393188
1499894580620532,-0.264099,-0.587402,0.65625,0.393188
1499894580643535,-0.264038,-0.587402,0.656189,0.393188
1499894580657535,-0.264038,-0.587402,0.656189,0.393188
1499894580680537,-0.264038,-0.587402,0.656189,0.39325
1499894580703537,-0.264038,-0.587402,0.656189,0.39325
